instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1343,2011-03-01,1,0,3,5,0,2,1,1,0.2,0.1818,0.64,0.2836,2
1344,2011-03-01,1,0,3,6,0,2,1,1,0.2,0.1818,0.59,0.2985,46
1345,2011-03-01,1,0,3,7,0,2,1,1,0.2,0.1818,0.59,0.3284,107
1346,2011-03-01,1,0,3,8,0,2,1,1,0.2,0.1818,0.59,0.3881,214
1347,2011-03-01,1,0,3,9,0,2,1,1,0.22,0.197,0.55,0.4179,124
1348,2011-03-01,1,0,3,10,0,2,1,1,0.24,0.2121,0.52,0.2836,68
1349,2011-03-01,1,0,3,11,0,2,1,1,0.28,0.2727,0.45,0.2537,56
1350,2011-03-01,1,0,3,12,0,2,1,1,0.3,0.303,0.39,0.1343,86
1351,2011-03-01,1,0,3,13,0,2,1,1,0.32,0.3485,0.39,0,78
1352,2011-03-01,1,0,3,14,0,2,1,1,0.32,0.3333,0.36,0.1343,79
1353,2011-03-01,1,0,3,15,0,2,1,1,0.34,0.3636,0.34,0,64
1354,2011-03-01,1,0,3,16,0,2,1,1,0.34,0.3485,0.34,0.0896,102
1355,2011-03-01,1,0,3,17,0,2,1,1,0.34,0.3485,0.34,0.0896,242
1356,2011-03-01,1,0,3,18,0,2,1,1,0.32,0.3182,0.39,0.194,224
1357,2011-03-01,1,0,3,19,0,2,1,1,0.3,0.303,0.49,0.1343,119
1358,2011-03-01,1,0,3,20,0,2,1,1,0.3,0.3182,0.61,0.0896,88
1359,2011-03-01,1,0,3,21,0,2,1,1,0.26,0.303,0.56,0,63
1360,2011-03-01,1,0,3,22,0,2,1,1,0.24,0.2727,0.62,0.1045,47
1361,2011-03-01,1,0,3,23,0,2,1,1,0.24,0.2273,0.65,0.2239,25
1362,2011-03-02,1,0,3,0,0,3,1,1,0.22,0.2273,0.69,0.1642,8
1363,2011-03-02,1,0,3,1,0,3,1,1,0.22,0.2273,0.69,0.194,4
1364,2011-03-02,1,0,3,2,0,3,1,1,0.22,0.2273,0.69,0.194,2
1365,2011-03-02,1,0,3,3,0,3,1,1,0.22,0.2121,0.69,0.2836,4
1366,2011-03-02,1,0,3,4,0,3,1,1,0.2,0.2121,0.75,0.1343,1
1367,2011-03-02,1,0,3,5,0,3,1,1,0.22,0.2121,0.69,0.2239,5
1368,2011-03-02,1,0,3,6,0,3,1,1,0.22,0.2121,0.55,0.2537,40
1369,2011-03-02,1,0,3,7,0,3,1,1,0.22,0.2121,0.64,0.2537,110
1370,2011-03-02,1,0,3,8,0,3,1,1,0.24,0.2121,0.65,0.2836,256
1371,2011-03-02,1,0,3,9,0,3,1,1,0.28,0.2576,0.56,0.2985,148
1372,2011-03-02,1,0,3,10,0,3,1,1,0.32,0.303,0.49,0.2836,76
1373,2011-03-02,1,0,3,11,0,3,1,1,0.34,0.303,0.53,0.3284,73
1374,2011-03-02,1,0,3,12,0,3,1,1,0.4,0.4091,0.43,0.194,82
1375,2011-03-02,1,0,3,13,0,3,1,1,0.5,0.4848,0.25,0,125
1376,2011-03-02,1,0,3,14,0,3,1,1,0.52,0.5,0.23,0.2985,96
1377,2011-03-02,1,0,3,15,0,3,1,1,0.54,0.5152,0.19,0.4179,110
1378,2011-03-02,1,0,3,16,0,3,1,1,0.54,0.5152,0.19,0.3284,139
1379,2011-03-02,1,0,3,17,0,3,1,1,0.5,0.4848,0.23,0.2836,268
1380,2011-03-02,1,0,3,18,0,3,1,1,0.46,0.4545,0.23,0.4925,201
1381,2011-03-02,1,0,3,19,0,3,1,1,0.4,0.4091,0.28,0.5224,150
1382,2011-03-02,1,0,3,20,0,3,1,1,0.36,0.3333,0.29,0.4179,95
1383,2011-03-02,1,0,3,21,0,3,1,1,0.34,0.2879,0.29,0.4627,71
1384,2011-03-02,1,0,3,22,0,3,1,1,0.3,0.2576,0.26,0.5522,48
1385,2011-03-02,1,0,3,23,0,3,1,1,0.26,0.2121,0.3,0.5224,22
1386,2011-03-03,1,0,3,0,0,4,1,1,0.24,0.197,0.3,0.4627,13
1387,2011-03-03,1,0,3,1,0,4,1,1,0.24,0.197,0.3,0.4627,1
1388,2011-03-03,1,0,3,2,0,4,1,1,0.2,0.1667,0.27,0.4627,3
1389,2011-03-03,1,0,3,3,0,4,1,1,0.2,0.1667,0.27,0.4627,1
1390,2011-03-03,1,0,3,4,0,4,1,1,0.16,0.1212,0.31,0.4925,1
1391,2011-03-03,1,0,3,5,0,4,1,1,0.14,0.1212,0.33,0.2985,8
1392,2011-03-03,1,0,3,6,0,4,1,1,0.14,0.1212,0.33,0.2985,35
1393,2011-03-03,1,0,3,7,0,4,1,1,0.12,0.0909,0.42,0.4179,111
1394,2011-03-03,1,0,3,8,0,4,1,1,0.14,0.1212,0.39,0.2985,220
1395,2011-03-03,1,0,3,9,0,4,1,1,0.16,0.1364,0.37,0.2836,145
1396,2011-03-03,1,0,3,10,0,4,1,1,0.18,0.1818,0.29,0.194,56
1397,2011-03-03,1,0,3,11,0,4,1,1,0.2,0.2273,0.29,0.0896,50
1398,2011-03-03,1,0,3,12,0,4,1,1,0.22,0.2273,0.25,0.1343,72
1399,2011-03-03,1,0,3,13,0,4,1,1,0.22,0.2576,0.25,0.0896,80
1400,2011-03-03,1,0,3,14,0,4,1,1,0.24,0.2576,0.21,0.1045,78
1401,2011-03-03,1,0,3,15,0,4,1,1,0.24,0.2879,0.23,0,68
1402,2011-03-03,1,0,3,16,0,4,1,1,0.26,0.303,0.23,0,71
1403,2011-03-03,1,0,3,17,0,4,1,1,0.26,0.303,0.22,0,202
1404,2011-03-03,1,0,3,18,0,4,1,1,0.24,0.2121,0.35,0.3284,167
1405,2011-03-03,1,0,3,19,0,4,1,1,0.2,0.197,0.4,0.2537,106
1406,2011-03-03,1,0,3,20,0,4,1,1,0.2,0.2273,0.4,0.0896,70
1407,2011-03-03,1,0,3,21,0,4,1,1,0.18,0.2121,0.4,0.1045,51
1408,2011-03-03,1,0,3,22,0,4,1,1,0.2,0.2576,0.4,0,53
1409,2011-03-03,1,0,3,23,0,4,1,2,0.18,0.2121,0.43,0.0896,23
1410,2011-03-04,1,0,3,0,0,5,1,2,0.2,0.197,0.55,0.194,12
1411,2011-03-04,1,0,3,1,0,5,1,2,0.18,0.1818,0.64,0.194,4
1412,2011-03-04,1,0,3,2,0,5,1,2,0.18,0.1818,0.64,0.194,2
1413,2011-03-04,1,0,3,3,0,5,1,2,0.18,0.1667,0.74,0.2537,1
1414,2011-03-04,1,0,3,4,0,5,1,2,0.18,0.1818,0.74,0.194,1
1415,2011-03-04,1,0,3,5,0,5,1,2,0.16,0.1818,0.74,0.1343,7
1416,2011-03-04,1,0,3,6,0,5,1,2,0.16,0.197,0.74,0.0896,29
1417,2011-03-04,1,0,3,7,0,5,1,1,0.16,0.1818,0.8,0.1343,83
1418,2011-03-04,1,0,3,8,0,5,1,1,0.18,0.197,0.74,0.1343,228
1419,2011-03-04,1,0,3,9,0,5,1,1,0.22,0.2273,0.6,0.1343,150
1420,2011-03-04,1,0,3,10,0,5,1,1,0.24,0.2273,0.6,0.2537,66
1421,2011-03-04,1,0,3,11,0,5,1,1,0.28,0.2727,0.52,0.2239,89
1422,2011-03-04,1,0,3,12,0,5,1,1,0.32,0.303,0.43,0.1642,97
1423,2011-03-04,1,0,3,13,0,5,1,1,0.34,0.3182,0.42,0.2239,87
1424,2011-03-04,1,0,3,14,0,5,1,1,0.36,0.3333,0.4,0.2836,95
1425,2011-03-04,1,0,3,15,0,5,1,1,0.36,0.3333,0.4,0.2985,106
1426,2011-03-04,1,0,3,16,0,5,1,1,0.36,0.3485,0.46,0.194,118
1427,2011-03-04,1,0,3,17,0,5,1,2,0.36,0.3333,0.5,0.2537,228
1428,2011-03-04,1,0,3,18,0,5,1,2,0.34,0.303,0.53,0.2985,187
1429,2011-03-04,1,0,3,19,0,5,1,1,0.32,0.303,0.61,0.2537,107
1430,2011-03-04,1,0,3,20,0,5,1,2,0.3,0.2879,0.7,0.194,87
1431,2011-03-04,1,0,3,21,0,5,1,2,0.3,0.2879,0.7,0.2239,70
1432,2011-03-04,1,0,3,22,0,5,1,1,0.3,0.2879,0.7,0.194,44
1433,2011-03-04,1,0,3,23,0,5,1,2,0.3,0.303,0.75,0.1642,46
1434,2011-03-05,1,0,3,0,0,6,0,2,0.28,0.2879,0.81,0.1045,19
1435,2011-03-05,1,0,3,1,0,6,0,2,0.3,0.3182,0.81,0.1045,25
1436,2011-03-05,1,0,3,2,0,6,0,2,0.3,0.2879,0.87,0.194,20
1437,2011-03-05,1,0,3,3,0,6,0,2,0.3,0.2879,0.87,0.194,2
1438,2011-03-05,1,0,3,4,0,6,0,2,0.3,0.303,0.93,0.1642,1
1439,2011-03-05,1,0,3,5,0,6,0,2,0.3,0.303,1,0.1343,3
1440,2011-03-05,1,0,3,6,0,6,0,2,0.3,0.2879,1,0.2239,4
1441,2011-03-05,1,0,3,7,0,6,0,2,0.3,0.2727,1,0.2985,15
1442,2011-03-05,1,0,3,8,0,6,0,2,0.3,0.2727,1,0.2985,45
1443,2011-03-05,1,0,3,9,0,6,0,2,0.32,0.303,0.93,0.2239,63
1444,2011-03-05,1,0,3,10,0,6,0,2,0.34,0.3333,0.93,0.194,103
1445,2011-03-05,1,0,3,11,0,6,0,2,0.4,0.4091,0.76,0.2239,159
1446,2011-03-05,1,0,3,12,0,6,0,2,0.44,0.4394,0.67,0.2537,167
1447,2011-03-05,1,0,3,13,0,6,0,2,0.46,0.4545,0.67,0.2836,190
1448,2011-03-05,1,0,3,14,0,6,0,2,0.48,0.4697,0.59,0.2836,198
1449,2011-03-05,1,0,3,15,0,6,0,2,0.46,0.4545,0.63,0.2985,205
1450,2011-03-05,1,0,3,16,0,6,0,2,0.48,0.4697,0.59,0.2985,204
1451,2011-03-05,1,0,3,17,0,6,0,2,0.48,0.4697,0.59,0.3582,164
1452,2011-03-05,1,0,3,18,0,6,0,2,0.48,0.4697,0.59,0.3284,152
1453,2011-03-05,1,0,3,19,0,6,0,2,0.46,0.4545,0.67,0.3284,89
1454,2011-03-05,1,0,3,20,0,6,0,2,0.44,0.4394,0.77,0.3284,70
1455,2011-03-05,1,0,3,21,0,6,0,2,0.44,0.4394,0.72,0.3284,72
1456,2011-03-05,1,0,3,22,0,6,0,2,0.42,0.4242,0.77,0.2985,63
1457,2011-03-05,1,0,3,23,0,6,0,2,0.44,0.4394,0.77,0.2985,44
1458,2011-03-06,1,0,3,0,0,0,0,2,0.42,0.4242,0.77,0.3582,52
1459,2011-03-06,1,0,3,1,0,0,0,2,0.42,0.4242,0.77,0.2836,39
1460,2011-03-06,1,0,3,2,0,0,0,2,0.4,0.4091,0.82,0.2836,32
1461,2011-03-06,1,0,3,3,0,0,0,2,0.42,0.4242,0.82,0.2985,11
1462,2011-03-06,1,0,3,4,0,0,0,2,0.42,0.4242,0.88,0.3582,3
1463,2011-03-06,1,0,3,6,0,0,0,2,0.42,0.4242,0.94,0.3582,2
1464,2011-03-06,1,0,3,7,0,0,0,3,0.42,0.4242,1,0.4478,5
1465,2011-03-06,1,0,3,8,0,0,0,2,0.4,0.4091,1,0.2985,9
1466,2011-03-06,1,0,3,9,0,0,0,2,0.42,0.4242,1,0.2836,22
1467,2011-03-06,1,0,3,10,0,0,0,2,0.42,0.4242,1,0.2985,31
1468,2011-03-06,1,0,3,11,0,0,0,2,0.42,0.4242,1,0.2239,62
1469,2011-03-06,1,0,3,12,0,0,0,2,0.46,0.4545,0.94,0.3284,79
1470,2011-03-06,1,0,3,13,0,0,0,2,0.46,0.4545,0.94,0.3582,105
1471,2011-03-06,1,0,3,14,0,0,0,3,0.44,0.4394,1,0.2239,39
1472,2011-03-06,1,0,3,15,0,0,0,3,0.44,0.4394,1,0.2239,7
1473,2011-03-06,1,0,3,16,0,0,0,3,0.36,0.3333,1,0.2836,11
1474,2011-03-06,1,0,3,17,0,0,0,3,0.34,0.303,1,0.2985,25
1475,2011-03-06,1,0,3,18,0,0,0,3,0.32,0.2879,1,0.3582,23
1476,2011-03-06,1,0,3,19,0,0,0,3,0.3,0.2576,1,0.4925,11
1477,2011-03-06,1,0,3,20,0,0,0,3,0.28,0.2424,1,0.4179,11
1478,2011-03-06,1,0,3,21,0,0,0,3,0.24,0.1818,0.93,0.6119,7
1479,2011-03-06,1,0,3,22,0,0,0,2,0.22,0.197,1,0.3881,10
1480,2011-03-06,1,0,3,23,0,0,0,2,0.22,0.197,1,0.4179,9
1481,2011-03-07,1,0,3,0,0,1,1,3,0.2,0.1818,1,0.3284,4
1482,2011-03-07,1,0,3,1,0,1,1,3,0.2,0.1818,1,0.3284,2
1483,2011-03-07,1,0,3,3,0,1,1,1,0.2,0.1515,0.8,0.5821,1
1484,2011-03-07,1,0,3,4,0,1,1,1,0.2,0.1515,0.8,0.5224,1
1485,2011-03-07,1,0,3,5,0,1,1,1,0.2,0.1818,0.75,0.3582,1
1486,2011-03-07,1,0,3,6,0,1,1,1,0.2,0.1818,0.75,0.3881,34
1487,2011-03-07,1,0,3,7,0,1,1,1,0.2,0.1667,0.75,0.4179,91
1488,2011-03-07,1,0,3,8,0,1,1,1,0.2,0.1818,0.75,0.3881,211
1489,2011-03-07,1,0,3,9,0,1,1,1,0.22,0.1818,0.64,0.4627,134
1490,2011-03-07,1,0,3,10,0,1,1,1,0.24,0.2121,0.6,0.2985,58
1491,2011-03-07,1,0,3,11,0,1,1,1,0.26,0.2121,0.48,0.4478,60
1492,2011-03-07,1,0,3,12,0,1,1,1,0.3,0.2727,0.42,0.4179,96
1493,2011-03-07,1,0,3,13,0,1,1,1,0.32,0.2879,0.36,0.3881,70
1494,2011-03-07,1,0,3,14,0,1,1,1,0.32,0.2879,0.36,0.4179,77
1495,2011-03-07,1,0,3,15,0,1,1,1,0.34,0.303,0.31,0.3881,96
1496,2011-03-07,1,0,3,16,0,1,1,1,0.34,0.303,0.31,0.3582,122
1497,2011-03-07,1,0,3,17,0,1,1,1,0.34,0.303,0.29,0.3582,233
1498,2011-03-07,1,0,3,18,0,1,1,1,0.32,0.303,0.31,0.2239,233
1499,2011-03-07,1,0,3,19,0,1,1,1,0.3,0.2879,0.33,0.2239,145
1500,2011-03-07,1,0,3,20,0,1,1,1,0.3,0.303,0.33,0.1642,92
1501,2011-03-07,1,0,3,21,0,1,1,1,0.28,0.2727,0.38,0.2239,54
1502,2011-03-07,1,0,3,22,0,1,1,1,0.26,0.2576,0.48,0.1642,35
1503,2011-03-07,1,0,3,23,0,1,1,1,0.28,0.3182,0.48,0,22
1504,2011-03-08,1,0,3,0,0,2,1,1,0.26,0.2879,0.48,0.0896,10
1505,2011-03-08,1,0,3,1,0,2,1,1,0.24,0.2424,0.52,0.1343,4
1506,2011-03-08,1,0,3,2,0,2,1,1,0.24,0.2424,0.52,0.1343,1
1507,2011-03-08,1,0,3,3,0,2,1,1,0.24,0.2576,0.52,0.0896,7
1508,2011-03-08,1,0,3,4,0,2,1,1,0.22,0.2727,0.64,0,2
1509,2011-03-08,1,0,3,5,0,2,1,1,0.2,0.2273,0.69,0.1045,10
1510,2011-03-08,1,0,3,6,0,2,1,1,0.2,0.2576,0.59,0,45
1511,2011-03-08,1,0,3,7,0,2,1,1,0.18,0.197,0.64,0.1343,128
1512,2011-03-08,1,0,3,8,0,2,1,1,0.22,0.2273,0.55,0.194,257
1513,2011-03-08,1,0,3,9,0,2,1,1,0.26,0.2576,0.41,0.1642,151
1514,2011-03-08,1,0,3,10,0,2,1,2,0.3,0.2879,0.33,0.194,71
1515,2011-03-08,1,0,3,11,0,2,1,2,0.36,0.3485,0.25,0.1642,78
1516,2011-03-08,1,0,3,12,0,2,1,2,0.36,0.3788,0.23,0,99
1517,2011-03-08,1,0,3,13,0,2,1,2,0.38,0.3939,0.25,0.1045,98
1518,2011-03-08,1,0,3,14,0,2,1,2,0.38,0.3939,0.2,0,72
1519,2011-03-08,1,0,3,15,0,2,1,2,0.36,0.3788,0.18,0,112
1520,2011-03-08,1,0,3,16,0,2,1,1,0.38,0.3939,0.27,0.1642,108
1521,2011-03-08,1,0,3,17,0,2,1,1,0.36,0.3485,0.27,0.2239,248
1522,2011-03-08,1,0,3,18,0,2,1,1,0.34,0.3333,0.27,0.194,235
1523,2011-03-08,1,0,3,19,0,2,1,1,0.34,0.3485,0.31,0.1045,150
1524,2011-03-08,1,0,3,20,0,2,1,1,0.32,0.3333,0.39,0.0896,76
1525,2011-03-08,1,0,3,21,0,2,1,1,0.3,0.2879,0.49,0.194,75
1526,2011-03-08,1,0,3,22,0,2,1,1,0.3,0.2879,0.49,0.2239,55
1527,2011-03-08,1,0,3,23,0,2,1,1,0.28,0.2727,0.61,0.194,41
1528,2011-03-09,1,0,3,0,0,3,1,1,0.26,0.2879,0.65,0.0896,9
1529,2011-03-09,1,0,3,1,0,3,1,1,0.26,0.2727,0.52,0.1343,4
1530,2011-03-09,1,0,3,2,0,3,1,1,0.26,0.2727,0.52,0.1343,2
1531,2011-03-09,1,0,3,3,0,3,1,1,0.24,0.2576,0.7,0.0896,3
1532,2011-03-09,1,0,3,4,0,3,1,1,0.24,0.2576,0.75,0.1045,2
1533,2011-03-09,1,0,3,5,0,3,1,2,0.24,0.2424,0.81,0.1343,8
1534,2011-03-09,1,0,3,6,0,3,1,2,0.24,0.2576,0.85,0.1045,49
1535,2011-03-09,1,0,3,7,0,3,1,2,0.24,0.2424,0.87,0.1642,141
1536,2011-03-09,1,0,3,8,0,3,1,2,0.24,0.2424,0.87,0.1343,249
1537,2011-03-09,1,0,3,9,0,3,1,2,0.26,0.2424,0.87,0.2537,141
1538,2011-03-09,1,0,3,10,0,3,1,2,0.3,0.2879,0.75,0.2537,57
1539,2011-03-09,1,0,3,11,0,3,1,2,0.32,0.2879,0.76,0.3881,59
1540,2011-03-09,1,0,3,12,0,3,1,2,0.32,0.303,0.76,0.2537,98
1541,2011-03-09,1,0,3,13,0,3,1,2,0.32,0.2879,0.76,0.3582,99
1542,2011-03-09,1,0,3,14,0,3,1,2,0.34,0.303,0.76,0.2985,71
1543,2011-03-09,1,0,3,15,0,3,1,2,0.36,0.3333,0.71,0.2985,79
1544,2011-03-09,1,0,3,16,0,3,1,2,0.34,0.303,0.76,0.3284,112
1545,2011-03-09,1,0,3,17,0,3,1,2,0.34,0.303,0.76,0.2985,194
1546,2011-03-09,1,0,3,18,0,3,1,2,0.34,0.3182,0.76,0.2537,188
1547,2011-03-09,1,0,3,19,0,3,1,2,0.34,0.303,0.76,0.3284,134
1548,2011-03-09,1,0,3,20,0,3,1,2,0.32,0.3182,0.87,0.194,91
1549,2011-03-09,1,0,3,21,0,3,1,2,0.32,0.303,0.93,0.3284,62
1550,2011-03-09,1,0,3,22,0,3,1,3,0.32,0.3182,0.93,0.1642,21
1551,2011-03-09,1,0,3,23,0,3,1,3,0.34,0.3333,0.93,0.194,18
1552,2011-03-10,1,0,3,0,0,4,1,3,0.34,0.3182,0,0.2537,3
1553,2011-03-10,1,0,3,1,0,4,1,3,0.34,0.3182,0,0.2537,2
1554,2011-03-10,1,0,3,2,0,4,1,3,0.34,0.3182,0,0.2537,1
1555,2011-03-10,1,0,3,5,0,4,1,3,0.36,0.3485,0,0.194,3
1556,2011-03-10,1,0,3,6,0,4,1,3,0.36,0.3333,0,0.3284,12
1557,2011-03-10,1,0,3,7,0,4,1,3,0.38,0.3939,0,0.2239,37
1558,2011-03-10,1,0,3,8,0,4,1,3,0.38,0.3939,0,0.2836,44
1559,2011-03-10,1,0,3,9,0,4,1,3,0.4,0.4091,0,0.2239,24
1560,2011-03-10,1,0,3,10,0,4,1,3,0.4,0.4091,0,0.1642,17
1561,2011-03-10,1,0,3,11,0,4,1,3,0.4,0.4091,0,0.2537,11
1562,2011-03-10,1,0,3,12,0,4,1,3,0.42,0.4242,0,0.2239,34
1563,2011-03-10,1,0,3,13,0,4,1,3,0.42,0.4242,0,0.2239,12
1564,2011-03-10,1,0,3,14,0,4,1,3,0.44,0.4394,0,0.2985,12
1565,2011-03-10,1,0,3,15,0,4,1,3,0.44,0.4394,0,0.2239,14
1566,2011-03-10,1,0,3,16,0,4,1,3,0.42,0.4242,0,0.2537,21
1567,2011-03-10,1,0,3,17,0,4,1,2,0.44,0.4394,0,0.3881,111
1568,2011-03-10,1,0,3,18,0,4,1,3,0.44,0.4394,0,0.3582,82
1569,2011-03-10,1,0,3,19,0,4,1,3,0.44,0.4394,0,0.5821,56
1570,2011-03-10,1,0,3,20,0,4,1,3,0.36,0.3333,0,0.3284,38
1571,2011-03-10,1,0,3,21,0,4,1,3,0.36,0.3485,0,0.2239,28
1572,2011-03-10,1,0,3,22,0,4,1,2,0.34,0.3333,0,0.1343,34
1573,2011-03-10,1,0,3,23,0,4,1,3,0.34,0.3485,0,0.0896,27
1574,2011-03-11,1,0,3,0,0,5,1,2,0.34,0.3485,1,0.0896,6
1575,2011-03-11,1,0,3,1,0,5,1,3,0.34,0.3485,1,0.1045,8
1576,2011-03-11,1,0,3,2,0,5,1,3,0.34,0.3485,1,0.1045,5
1577,2011-03-11,1,0,3,3,0,5,1,2,0.32,0.3333,0.93,0.0896,2
1578,2011-03-11,1,0,3,5,0,5,1,1,0.3,0.2879,0.81,0.2239,7
1579,2011-03-11,1,0,3,6,0,5,1,1,0.26,0.2424,0.81,0.2836,32
1580,2011-03-11,1,0,3,7,0,5,1,1,0.26,0.2576,0.7,0.194,114
1581,2011-03-11,1,0,3,8,0,5,1,1,0.28,0.2727,0.7,0.2537,259
1582,2011-03-11,1,0,3,9,0,5,1,2,0.3,0.2879,0.61,0.2836,156
1583,2011-03-11,1,0,3,10,0,5,1,2,0.32,0.303,0.57,0.2985,78
1584,2011-03-11,1,0,3,11,0,5,1,2,0.32,0.303,0.57,0.2985,81
1585,2011-03-11,1,0,3,12,0,5,1,2,0.34,0.3182,0.53,0.2537,111
1586,2011-03-11,1,0,3,13,0,5,1,1,0.36,0.3333,0.53,0.2537,107
1587,2011-03-11,1,0,3,14,0,5,1,2,0.36,0.3333,0.5,0.3582,89
1588,2011-03-11,1,0,3,15,0,5,1,2,0.34,0.3182,0.53,0.2537,85
1589,2011-03-11,1,0,3,16,0,5,1,2,0.34,0.303,0.49,0.2985,113
1590,2011-03-11,1,0,3,17,0,5,1,1,0.34,0.3182,0.49,0.2239,223
1591,2011-03-11,1,0,3,18,0,5,1,1,0.32,0.303,0.49,0.3284,153
1592,2011-03-11,1,0,3,19,0,5,1,1,0.3,0.2727,0.56,0.3284,118
1593,2011-03-11,1,0,3,20,0,5,1,1,0.3,0.303,0.56,0.1642,76
1594,2011-03-11,1,0,3,21,0,5,1,2,0.3,0.2879,0.52,0.2537,53
1595,2011-03-11,1,0,3,22,0,5,1,1,0.3,0.303,0.52,0.1642,64
1596,2011-03-11,1,0,3,23,0,5,1,1,0.3,0.2879,0.52,0.2537,37
1597,2011-03-12,1,0,3,0,0,6,0,1,0.26,0.2727,0.6,0.1343,34
1598,2011-03-12,1,0,3,1,0,6,0,1,0.24,0.2273,0.65,0.194,18
1599,2011-03-12,1,0,3,2,0,6,0,1,0.24,0.2273,0.65,0.194,14
1600,2011-03-12,1,0,3,3,0,6,0,1,0.24,0.2273,0.65,0.2537,7
1601,2011-03-12,1,0,3,4,0,6,0,1,0.24,0.2273,0.65,0.2537,1
1602,2011-03-12,1,0,3,5,0,6,0,1,0.22,0.2273,0.69,0.194,2
1603,2011-03-12,1,0,3,6,0,6,0,1,0.22,0.2121,0.75,0.2537,4
1604,2011-03-12,1,0,3,7,0,6,0,1,0.24,0.2273,0.7,0.194,23
1605,2011-03-12,1,0,3,8,0,6,0,1,0.26,0.2576,0.65,0.1642,53
1606,2011-03-12,1,0,3,9,0,6,0,1,0.28,0.2879,0.65,0.1045,101
1607,2011-03-12,1,0,3,10,0,6,0,1,0.32,0.303,0.66,0.2239,99
1608,2011-03-12,1,0,3,11,0,6,0,1,0.34,0.303,0.49,0.3284,119
1609,2011-03-12,1,0,3,12,0,6,0,1,0.34,0.3182,0.53,0.2836,158
1610,2011-03-12,1,0,3,13,0,6,0,1,0.36,0.3333,0.51,0.3582,157
1611,2011-03-12,1,0,3,14,0,6,0,1,0.4,0.4091,0.5,0.4478,166
1612,2011-03-12,1,0,3,15,0,6,0,1,0.42,0.4242,0.44,0.4925,182
1613,2011-03-12,1,0,3,16,0,6,0,1,0.46,0.4545,0.41,0.4478,244
1614,2011-03-12,1,0,3,17,0,6,0,1,0.46,0.4545,0.44,0.3284,213
1615,2011-03-12,1,0,3,18,0,6,0,1,0.42,0.4242,0.54,0.1642,145
1616,2011-03-12,1,0,3,19,0,6,0,1,0.42,0.4242,0.54,0.0896,112
1617,2011-03-12,1,0,3,20,0,6,0,1,0.4,0.4091,0.58,0.1045,86
1618,2011-03-12,1,0,3,21,0,6,0,1,0.38,0.3939,0.62,0,82
1619,2011-03-12,1,0,3,22,0,6,0,1,0.36,0.3788,0.71,0,63
1620,2011-03-12,1,0,3,23,0,6,0,1,0.38,0.3939,0.66,0.0896,49
1621,2011-03-13,1,0,3,0,0,0,0,1,0.38,0.3939,0.62,0.1045,38
1622,2011-03-13,1,0,3,1,0,0,0,1,0.36,0.3485,0.66,0.1343,33
1623,2011-03-13,1,0,3,3,0,0,0,1,0.34,0.3333,0.76,0.1343,23
1624,2011-03-13,1,0,3,4,0,0,0,1,0.34,0.3333,0.66,0.1642,13
1625,2011-03-13,1,0,3,5,0,0,0,1,0.36,0.3485,0.62,0.1343,3
1626,2011-03-13,1,0,3,6,0,0,0,1,0.34,0.3636,0.66,0,2
1627,2011-03-13,1,0,3,7,0,0,0,1,0.36,0.3485,0.62,0.194,10
1628,2011-03-13,1,0,3,8,0,0,0,1,0.4,0.4091,0.5,0.2985,34
1629,2011-03-13,1,0,3,9,0,0,0,1,0.4,0.4091,0.5,0.4179,44
1630,2011-03-13,1,0,3,10,0,0,0,1,0.42,0.4242,0.47,0.2537,122
1631,2011-03-13,1,0,3,11,0,0,0,1,0.44,0.4394,0.41,0.4179,181
1632,2011-03-13,1,0,3,12,0,0,0,1,0.46,0.4545,0.38,0.3881,194
1633,2011-03-13,1,0,3,13,0,0,0,1,0.46,0.4545,0.38,0.3881,221
1634,2011-03-13,1,0,3,14,0,0,0,1,0.46,0.4545,0.41,0.2985,250
1635,2011-03-13,1,0,3,15,0,0,0,1,0.48,0.4697,0.39,0.3284,304
1636,2011-03-13,1,0,3,16,0,0,0,1,0.46,0.4545,0.41,0.3881,256
1637,2011-03-13,1,0,3,17,0,0,0,1,0.44,0.4394,0.41,0.3582,241
1638,2011-03-13,1,0,3,18,0,0,0,1,0.4,0.4091,0.43,0.3582,147
1639,2011-03-13,1,0,3,19,0,0,0,1,0.36,0.3333,0.5,0.3582,101
1640,2011-03-13,1,0,3,20,0,0,0,1,0.32,0.303,0.57,0.2985,77
1641,2011-03-13,1,0,3,21,0,0,0,1,0.3,0.2879,0.56,0.2537,58
1642,2011-03-13,1,0,3,22,0,0,0,1,0.3,0.2727,0.56,0.3284,37
1643,2011-03-13,1,0,3,23,0,0,0,1,0.26,0.2576,0.65,0.2239,28
1644,2011-03-14,1,0,3,0,0,1,1,1,0.26,0.2727,0.65,0.1045,11
1645,2011-03-14,1,0,3,1,0,1,1,1,0.26,0.2879,0.65,0.0896,1
1646,2011-03-14,1,0,3,2,0,1,1,1,0.26,0.2879,0.65,0.0896,1
1647,2011-03-14,1,0,3,3,0,1,1,1,0.26,0.2727,0.65,0.1343,3
1648,2011-03-14,1,0,3,5,0,1,1,1,0.24,0.2424,0.7,0.1343,8
1649,2011-03-14,1,0,3,6,0,1,1,1,0.26,0.2727,0.65,0.1343,28
